"Gene Symbol"	"Affy ProbeId"	"TSNI Ranking"	"Binding Score *"	"TSNI score"	"pvalue TSNI"	"Area*"	"pvalue*"	"Genes found in literature (Perez & Pietenpol, Cell Cycle 6:3, e1-e9, 2007"	"Genes found in literature Truong et al,  2006 20: 3185-3197 Genes & Dev. )"	"Genes found in literature  (Yang et al, Molecular Cell 24, 593–602, November 17, 2006)"	"Genes found in literature Vigano MA et al, EMBO J. 2006 Nov 1;25(21):5105-16."
"Nxn"	"1422466_at"	532	0	1.66E-01	0.677	4.24E+00	0	0	0	0	0
"Atp6v0b"	"1416769_s_at"	533	0	-1.63E-01	0.682	2.29E+00	0	0	0	0	0
"Otud5"	"1453865_a_at"	534	0	-1.63E-01	0.682	2.73E+00	0	0	0	0	0
"2810433K01Rik"	"1450496_a_at"	535	0	-1.63E-01	0.682	1.69E+00	0.0112	0	0	0	0
"Kctd1"	"1422293_a_at"	536	0	-1.63E-01	0.682	2.10E+00	0	0	0	0	0
"Pbx2"	"1418893_at"	537	0	1.63E-01	0.682	1.98E+00	0	0	0	0	0
"Mrpl41"	"1428588_a_at"	538	0	1.60E-01	0.687	1.82E+00	0.0084	0	0	0	0
"Ndn"	"1437853_x_at"	539	0	1.60E-01	0.687	1.97E+00	0	0	0	0	0
"Ccdc53"	"1452721_a_at"	540	0	1.60E-01	0.687	2.15E+00	0	0	0	0	0
"Mdn1"	"1417675_a_at"	541	0	1.60E-01	0.687	1.66E+00	0	0	0	0	0
"Pstpip2"	"1455405_at"	542	0	-1.60E-01	0.687	1.88E+00	0.0328	0	0	0	0
"Arid5a"	"1451340_at"	543	0	1.58E-01	0.6903	2.71E+00	0.0022	0	0	1	0
"Malat1"	"1452378_at"	544	0	1.58E-01	0.6903	1.15E+01	0	0	0	0	0
"Cdc20"	"1416664_at"	545	0	1.57E-01	0.692	2.90E+00	0.0008	0	0	0	0
"9530008L14Rik"	"1427957_at"	546	0	1.57E-01	0.692	2.00E+00	0	0	0	0	0
"Tspan3"	"1416009_at"	547	0	1.57E-01	0.692	2.26E+00	0.0204	0	0	0	0
"Defb3"	"1421806_at"	548	0	1.55E-01	0.6953	2.14E+00	0.0009	0	0	0	0
"C1galt1"	"1450745_at"	549	0	1.54E-01	0.697	1.64E+00	0.0027	0	0	1	0
"Egr2"	"1427683_at"	550	0	-1.52E-01	0.7003	2.67E+01	0	0	0	0	0
"1600029D21Rik"	"1423933_a_at"	551	0	-1.50E-01	0.7037	7.75E+00	0	0	0	0	0
"Lpin2"	"1452837_at"	552	19.318	-1.50E-01	0.7037	2.06E+00	0.0079	0	0	0	0
